date,TA_f,VPD_f,SW_IN_f,FC_2_f,GPP_FC_2_rei_f,RECO_FC_2_rei_f,GPP_FC_2_fal_f,RECO_FC_2_fal_f,GPP_FC_2_las_f,RECO_FC_2_las_f
2020-09-30,,,,,,,,,,
2020-10-01,,,,,,,,,,
2020-10-02,297.5538888888889,1386.9726797222222,,-0.44414535355714285,1.0122060098310317,0.5680606562738887,1.582548352259219,1.1384029987020758,1.4405677126017729,0.9964223590446301
2020-10-03,296.14225,1434.517986111111,,-0.6056799732685715,1.263124929993911,0.6574449567253394,1.8746245259353642,1.2689445526667926,1.7640396932207747,1.1583597199522035
2020-10-04,295.1861805555556,1352.1909791666667,,-0.7735289595057143,1.3367433940704831,0.5632144345647689,1.9691690217054856,1.1956400621997716,1.8198563427523524,1.046327383246638
2020-10-05,294.4874930555556,1361.0645000000002,,-0.8254470501657143,1.308621580251878,0.4831745300861637,1.9706569237772513,1.145209873611537,1.7924052388713319,0.9669581887056174
2020-10-06,295.3445763888889,1485.9899097222224,,-0.7978861894514285,1.2065470838927406,0.4086608944413122,2.0033834716702503,1.2054972822188217,1.7223914363920072,0.9245052469405786
2020-10-07,296.8658125,1713.7436476851854,,-0.6325969032942856,1.0579416859850037,0.4253447826907182,1.9581382876223976,1.3255413843281116,1.5999138252783622,0.9673169219840766
2020-10-08,297.8679305555556,1881.249549557166,,-0.4644470447254285,0.9812501405564705,0.516803095831042,1.879057324002847,1.4146102792774184,1.5003706627305524,1.035923618005124
2020-10-09,297.97797916666667,1890.321910668277,,-0.2792298230711429,0.9351368322064638,0.6559070091353211,1.705556158831208,1.4263263357600653,1.4563805850307248,1.1771507619595822
2020-10-10,297.1173888888889,1671.8053671497585,,-0.20349328701114286,0.9205431947019834,0.7170499076908406,1.5801999661232513,1.3767066791121085,1.5402421462181162,1.3367488592069734
2020-10-11,296.4785972222222,1426.3042569444444,,-0.3540479855328571,1.0399708562084868,0.6859228706756296,1.697184131617586,1.3431361460847289,1.9416696002997325,1.5876216147668754
2020-10-12,296.2975138888889,1605.7312847222222,,-0.47135817181571427,1.106955404737224,0.6355972329215098,1.816937400671775,1.3455792288560604,2.4152986404123276,1.9439404685966135
2020-10-13,295.9582222222222,1808.2915,,-0.5011710272677142,1.1220343552002012,0.6208633279324869,1.8231505597941264,1.3219795325264123,2.4679541424616778,1.9667831151939639
2020-10-14,295.15732638888886,1841.3421180555554,,-0.4767956627005714,1.0788845528996278,0.6020888901990563,1.7024799194219742,1.2256842567214028,2.1673318903930006,1.690536227692429
2020-10-15,293.7969166666667,1514.119736111111,,-0.5327857539034286,1.0766395970951363,0.5438538431917078,1.652981648515894,1.1201958946124655,1.73284402487987,1.2000582709764416
2020-10-16,292.6259583333333,1279.2667916666667,,-0.5456558854045714,1.0827721778816797,0.5371162924771085,1.5940948379994733,1.0484389525949018,1.5776282385102733,1.031972353105702
2020-10-17,291.62272916666666,1187.579020833333,,-0.2733712572545495,0.9781311072362838,0.7047598499817344,1.3479726728296662,1.074601415575117,1.411377599686854,1.1380063424323044
2020-10-18,292.0016180555555,1290.0546944444443,,0.00704260584429169,0.9660110291272366,0.9730536349715283,1.1549971203970741,1.1620397262413664,1.3291398738159146,1.336182479660206
2020-10-19,293.7224236111111,1531.0918958333332,,0.2783758170574346,0.8809654722021448,1.1593412892595794,1.00742071181552,1.2857965288729547,1.1799939401309552,1.4583697571883896
2020-10-20,296.5196041666667,1730.0574236111108,,0.502713094565984,0.9255267059042778,1.4282398004702619,0.9089646445334473,1.4116777390994315,1.0321887903722973,1.5349018849382814
2020-10-21,298.10359027777776,1626.1396041666667,,1.1340599079655844,0.7144539276743354,1.8485138356399196,0.32477496058620253,1.4588348685517871,0.6527598571438858,1.7868197651094704
2020-10-22,297.99513194444444,1386.4532675827422,,1.6936943599655845,0.5676771003855193,2.2613714603511035,-0.2651828694161827,1.428511490549402,0.3232724929822327,2.0169668529478173
2020-10-23,296.18354166666666,1242.4359273049647,,2.0453753322755843,0.5028436165127869,2.548218948788371,-0.6955861874855301,1.3497891447900543,0.2102440833717796,2.255619415647364
2020-10-24,294.2001666666667,1164.6890036938537,,1.9470648150428573,0.729720566215752,2.6767853812586093,-0.6776650820272675,1.2693997330155897,0.4315077806754002,2.378572595718257
2020-10-25,293.4196258865248,1198.0310888002366,,1.947655369202857,0.9978686717286385,2.945524040931496,-0.7167248183283491,1.230930550874508,0.7157198594744066,2.663375228677264
2020-10-26,293.4310494976359,1224.5021328309692,,1.8653607100114284,0.9764353113948312,2.84179602140626,-0.6890133460224699,1.1763473639889588,0.7310648476967451,2.5964255577081734
2020-10-27,293.3200147754137,1271.9415772754137,,1.8133057922914286,1.056407049135944,2.8697128414273725,-0.690395324538899,1.12291046775253,0.7750207896509501,2.5883265819423786
2020-10-28,293.3123611111111,1317.4327454196218,,1.4646303671571428,1.2081347966305387,2.6727651637876817,-0.3643165851771746,1.1003137819799684,0.8731381441724909,2.337768511329634
2020-10-29,294.0589097222222,1442.9505555555559,,0.9194600675057143,1.6648959872014961,2.5843560547072104,0.22088446192708078,1.1403445294327954,1.759491518274035,2.6789515857797492
2020-10-30,295.31470138888886,1625.7700972222221,,0.4119881261057143,1.8636555118493288,2.2756436379550435,0.7999227592215054,1.21191088532722,3.407096353087891,3.819084479193606
2020-10-31,295.3376319444444,1594.320964539007,,0.17214605858857138,1.8379047223793379,2.010050780967909,1.0433256089980234,1.215471667586595,3.890814507709724,4.062960566298295
