yyyy,mm,day,HH_UTC,MM,zm,d,z0,u_mean,L,sigma_v,u_star,wind_dir
2021,1,2,9,0,3.95,0.2,,3.2029985033202726,-25.4495,0.46740666,0.155205,138.951
2021,1,2,9,30,3.95,0.2,,3.2029985033202726,-67.011,0.49252817,0.252463,155.852
2021,1,2,10,0,3.95,0.2,,3.2029985033202726,-65.6313,0.62639046,0.301622,158.044
2021,1,2,10,30,3.95,0.2,,3.2029985033202726,-21.1071,0.9216659,0.243484,149.417
2021,1,2,11,0,3.95,0.2,,3.2029985033202726,-8.45461,0.6308265,0.179988,138.325
2021,1,2,11,30,3.95,0.2,,3.2029985033202726,-5.22892,0.77184975,0.161718,154.751
2021,1,2,12,0,3.95,0.2,,3.2029985033202726,-16.6951,0.6619305,0.234977,165.887
2021,1,2,12,30,3.95,0.2,,3.2029985033202726,-24.3505,0.5982332,0.276392,151.829
2021,1,2,13,0,3.95,0.2,,3.2029985033202726,-3.27138,0.9983506,0.150411,148.203
2021,1,2,14,0,3.95,0.2,,3.2029985033202726,-77.6558,1.2606229,0.39754,140.189
2021,1,2,14,30,3.95,0.2,,3.2029985033202726,-19.4269,1.3392572,0.263536,131.419
2021,1,2,15,0,3.95,0.2,,3.2029985033202726,-48.8988,1.0704111,0.316357,122.846
2021,1,2,15,30,3.95,0.2,,3.2029985033202726,-59.5716,1.0194509,0.306497,131.603
2021,1,2,16,0,3.95,0.2,,3.2029985033202726,-157.178,0.7695343,0.363817,138.434
2021,1,2,16,30,3.95,0.2,,3.2029985033202726,-1622.26,0.8240085,0.322081,126.642
2021,1,2,17,0,3.95,0.2,,3.2029985033202726,69.6298,0.48205602,0.265265,126.489
2021,1,2,19,30,3.95,0.2,,3.2029985033202726,14.047,0.2809224,0.164889,129.084
2021,1,2,20,0,3.95,0.2,,3.2029985033202726,13.7864,0.30739632,0.158261,130.966
2021,1,3,9,30,3.95,0.2,,3.2029985033202726,28.4534,0.3114336,0.144059,217.58
2021,1,3,10,0,3.95,0.2,,3.2029985033202726,-23.4008,0.35094443,0.169893,228.245
2021,1,3,10,30,3.95,0.2,,3.2029985033202726,-8.26322,0.4703807,0.186524,263.388
2021,1,3,11,0,3.95,0.2,,3.2029985033202726,-8.57651,0.57452327,0.197868,265.809
2021,1,3,11,30,3.95,0.2,,3.2029985033202726,-3.59373,0.5407495,0.146723,266.976
2021,1,3,12,0,3.95,0.2,,3.2029985033202726,-6.91761,0.6558033,0.192717,277.425
2021,1,3,12,30,3.95,0.2,,3.2029985033202726,-6.99086,0.6879775,0.205952,243.651
2021,1,3,13,0,3.95,0.2,,3.2029985033202726,-7.77353,0.6315354,0.203314,292.412
2021,1,3,13,30,3.95,0.2,,3.2029985033202726,-38.9246,1.1546428,0.341493,19.5974
2021,1,3,14,0,3.95,0.2,,3.2029985033202726,-18.4657,0.9053436,0.2716,63.3397
2021,1,3,14,30,3.95,0.2,,3.2029985033202726,-23.5922,0.8212174,0.278029,69.4065
2021,1,3,15,0,3.95,0.2,,3.2029985033202726,-33.4625,0.8673938,0.307095,67.4223
2021,1,3,15,30,3.95,0.2,,3.2029985033202726,-64.5875,0.94163316,0.339792,69.4563
2021,1,3,16,0,3.95,0.2,,3.2029985033202726,-119.207,0.823946,0.33794,78.1479
2021,1,3,16,30,3.95,0.2,,3.2029985033202726,-1420.88,0.7544203,0.324509,71.3501
2021,1,3,17,0,3.95,0.2,,3.2029985033202726,60.0471,0.4290909,0.242018,67.0636
2021,1,3,20,0,3.95,0.2,,3.2029985033202726,12.5547,0.2813784,0.1698,121.158
2021,1,3,22,30,3.95,0.2,,3.2029985033202726,10.3735,0.33415565,0.147293,125.302
2021,1,3,23,0,3.95,0.2,,3.2029985033202726,14.4723,0.47526205,0.162549,126.873
2021,1,4,8,30,3.95,0.2,,3.2029985033202726,80.2659,0.26014033,0.178022,151.289
2021,1,4,10,0,3.95,0.2,,3.2029985033202726,-10.8374,0.3983353,0.193067,226.82
2021,1,4,11,0,3.95,0.2,,3.2029985033202726,-12.3147,0.63606054,0.224754,258.089
2021,1,4,12,0,3.95,0.2,,3.2029985033202726,-15.1303,0.52295697,0.264135,329.084
2021,1,4,12,30,3.95,0.2,,3.2029985033202726,-8.73566,0.9915231,0.208564,357.872
2021,1,4,13,0,3.95,0.2,,3.2029985033202726,-25.7588,1.0751604,0.340005,47.2954
2021,1,4,13,30,3.95,0.2,,3.2029985033202726,-17.0466,0.96051496,0.282124,45.0992
2021,1,4,14,0,3.95,0.2,,3.2029985033202726,-20.0135,1.0277305,0.309731,47.8183
2021,1,4,14,30,3.95,0.2,,3.2029985033202726,-13.4168,0.91242313,0.232393,74.9413
2021,1,4,15,0,3.95,0.2,,3.2029985033202726,-14.1173,0.6364063,0.182086,77.9639
2021,1,4,15,30,3.95,0.2,,3.2029985033202726,-24.4913,0.8770217,0.247694,71.2299
2021,1,4,16,0,3.95,0.2,,3.2029985033202726,-56.4177,0.8683398,0.294436,48.3681
2021,1,4,16,30,3.95,0.2,,3.2029985033202726,-80.9426,0.5630293,0.26176,32.487
2021,1,4,17,0,3.95,0.2,,3.2029985033202726,395.138,0.45236933,0.175945,38.7527
2021,1,5,5,0,3.95,0.2,,3.2029985033202726,21.9638,0.17942686,0.141844,198.165
2021,1,5,10,30,3.95,0.2,,3.2029985033202726,-50.7641,0.76697195,0.301965,233.101
