yyyy,mm,day,HH_UTC,MM,zm,d,z0,u_mean,L,sigma_v,u_star,wind_dir
2019,1,12,4,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,4,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,5,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,5,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,6,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,6,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,7,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,7,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,8,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,8,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,9,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,9,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,10,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,10,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,11,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,11,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,12,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,12,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,13,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,13,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,14,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,14,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,15,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,15,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,16,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,16,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,17,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,17,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,18,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,18,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,19,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,19,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,20,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,20,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,21,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,21,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,22,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,22,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,23,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,12,23,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,0,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,0,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,1,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,1,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,2,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,2,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,3,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,3,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,4,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,4,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,5,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,5,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,6,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,6,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,7,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,7,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,8,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,8,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,9,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,9,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,10,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,10,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,11,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,11,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,12,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,12,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,13,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,13,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,14,0,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
2019,1,13,14,30,30.0,13.33,,3.183202336050614,-112.38,2.566865695360552,0.695,219.05
