,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII
20,0.2886614501476288,0.152462437748909,0.14052660763263702,0.2847399115562439,0.12061383575201035,-0.44030943512916565,-0.1024131029844284,0.061642009764909744
40,0.2969302237033844,0.14718027412891388,0.13624507188796997,0.2894202172756195,0.12232496589422226,-0.44482702016830444,-0.10501845180988312,0.062447771430015564
60,0.30412575602531433,0.14481708407402039,0.13563252985477448,0.30575987696647644,0.12776264548301697,-0.47389093041419983,-0.12430118024349213,0.04492165148258209
80,0.316570907831192,0.14625714719295502,0.1385100781917572,0.3381752073764801,0.13837966322898865,-0.5164735317230225,-0.15578535199165344,0.022692136466503143
100,0.3113284409046173,0.14570756256580353,0.13660959899425507,0.33200475573539734,0.13624075055122375,-0.5159978270530701,-0.16597767174243927,0.01601567305624485
