,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
20,0.29212626814842224,0.15292707085609436,0.14131277799606323,0.2897377610206604,0.12244119495153427,-0.4481130540370941,-0.10730228573083878,0.057996951043605804,512.9456787109375,709.1163330078125,919.015625,1170.5565185546875,1436.365966796875,1617.224609375,1811.526611328125,2015.8284912109375,2129.4404296875,2050.14794921875,3017.899169921875,2142.18994140625
40,0.29733923077583313,0.14724759757518768,0.13633067905902863,0.28994110226631165,0.12250658124685287,-0.44541072845458984,-0.10531777888536453,0.062321994453668594,493.75372314453125,671.274658203125,867.6419677734375,1103.5555419921875,1371.2003173828125,1545.125244140625,1731.267333984375,1907.81591796875,2037.7490234375,1981.938232421875,2908.98486328125,2052.10546875
60,0.30523139238357544,0.1451597809791565,0.13602802157402039,0.3084959089756012,0.1286901831626892,-0.4756949543952942,-0.12494926899671555,0.044483836740255356,461.3426208496094,601.9776611328125,783.3290405273438,1015.43505859375,1275.02587890625,1448.4134521484375,1632.149169921875,1804.4664306640625,1941.6395263671875,1911.037109375,2848.8466796875,1986.146240234375
80,0.3160873353481293,0.14591838419437408,0.1381281018257141,0.3360593616962433,0.13773085176944733,-0.5147295594215393,-0.1548539102077484,0.022897982969880104,429.69647216796875,544.3897094726562,711.711181640625,935.3544921875,1175.6961669921875,1351.9039306640625,1537.565185546875,1720.62890625,1859.93212890625,1835.4346923828125,2842.744384765625,1938.3292236328125
100,0.3113308250904083,0.14572446048259735,0.1366318017244339,0.3321450352668762,0.1362805813550949,-0.5160880088806152,-0.16601651906967163,0.016030510887503624,460.6246643066406,561.1055908203125,720.7411499023438,925.5361938476562,1166.5205078125,1343.4202880859375,1523.7860107421875,1695.9630126953125,1831.45654296875,1830.3544921875,2798.608642578125,1893.4061279296875
