,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII
20,0.29212626814842224,0.15292707085609436,0.14131277799606323,0.2897377610206604,0.12244119495153427,-0.4481130540370941,-0.10730228573083878,0.057996951043605804
40,0.29733923077583313,0.14724759757518768,0.13633067905902863,0.28994110226631165,0.12250658124685287,-0.44541072845458984,-0.10531777888536453,0.062321994453668594
60,0.30523139238357544,0.1451597809791565,0.13602802157402039,0.3084959089756012,0.1286901831626892,-0.4756949543952942,-0.12494926899671555,0.044483836740255356
80,0.3160873353481293,0.14591838419437408,0.1381281018257141,0.3360593616962433,0.13773085176944733,-0.5147295594215393,-0.1548539102077484,0.022897982969880104
100,0.3113308250904083,0.14572446048259735,0.1366318017244339,0.3321450352668762,0.1362805813550949,-0.5160880088806152,-0.16601651906967163,0.016030510887503624
