,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
20,0.2886614501476288,0.152462437748909,0.14052660763263702,0.2847399115562439,0.12061383575201035,-0.44030943512916565,-0.1024131029844284,0.061642009764909744,519.1683349609375,726.0170288085938,939.4576416015625,1193.5040283203125,1461.123046875,1641.3095703125,1835.5416259765625,2038.237060546875,2150.640625,2063.23876953125,3022.397705078125,2153.180908203125
40,0.2969302237033844,0.14718027412891388,0.13624507188796997,0.2894202172756195,0.12232496589422226,-0.44482702016830444,-0.10501845180988312,0.062447771430015564,494.3614807128906,672.577392578125,869.1368408203125,1105.4281005859375,1373.1033935546875,1547.0577392578125,1732.976318359375,1909.44482421875,2039.1336669921875,1983.018310546875,2909.649658203125,2053.260986328125
60,0.30412575602531433,0.14481708407402039,0.13563252985477448,0.30575987696647644,0.12776264548301697,-0.47389093041419983,-0.12430118024349213,0.04492165148258209,462.29827880859375,604.6568603515625,786.6685791015625,1018.8037109375,1278.1251220703125,1450.492919921875,1634.02197265625,1806.2979736328125,1942.683837890625,1915.983154296875,2848.7841796875,1987.3592529296875
80,0.316570907831192,0.14625714719295502,0.1385100781917572,0.3381752073764801,0.13837966322898865,-0.5164735317230225,-0.15578535199165344,0.022692136466503143,429.0830078125,544.366943359375,712.1820678710938,936.2828369140625,1176.4351806640625,1353.9991455078125,1539.91943359375,1723.77001953125,1862.5528564453125,1836.2479248046875,2842.209228515625,1936.321533203125
100,0.3113284409046173,0.14570756256580353,0.13660959899425507,0.33200475573539734,0.13624075055122375,-0.5159978270530701,-0.16597767174243927,0.01601567305624485,460.67022705078125,561.051025390625,720.60888671875,925.3343505859375,1166.3538818359375,1343.1444091796875,1523.4879150390625,1695.5938720703125,1831.1583251953125,1830.166748046875,2798.77099609375,1893.61767578125
