date,Tmed,Tmin,Tmax,Osc.,Prec.,PAcum,TH,TS
2019-01-10,2.7600000000000477,2.7600000000000477,2.7600000000000477,0.0,0.0,97.23,1.6384691657490533,2.7600000000000477
2019-01-11,2.7600000000000477,2.7600000000000477,2.7600000000000477,0.0,0.0,97.23,1.6384691657490533,2.7600000000000477
2019-01-12,2.7600000000000477,2.7600000000000477,2.7600000000000477,0.0,0.0,97.23,1.6384691657490533,2.7600000000000477
2019-01-13,2.7600000000000477,2.7600000000000477,2.7600000000000477,0.0,0.0,97.23,1.6384691657490533,2.7600000000000477
2019-01-14,2.7600000000000477,2.7600000000000477,2.7600000000000477,0.0,0.0,97.23,1.6384691657490533,2.7600000000000477
2019-01-15,2.7600000000000477,2.7600000000000477,2.7600000000000477,0.0,0.0,97.23,1.6384691657490533,2.7600000000000477
2019-01-16,2.75958333333338,2.740000000000009,2.7600000000000477,0.020000000000038654,0.0,97.22958333333334,1.6384691657490533,2.7600000000000477
2019-01-17,2.476875000000021,-0.17999999999994998,5.360000000000014,5.539999999999964,0.09583333333333333,97.30125,1.9741544704504235,3.2900000000000205
2019-01-18,-0.795624999999981,-3.1200000000000045,1.0299999999999727,4.149999999999977,0.0020833333333333333,98.86874999999999,-1.4321386118860207,-2.339999999999975
2019-01-19,-0.9877083333333173,-3.519999999999982,0.4800000000000182,4.0,0.0,99.08270833333334,-0.3552342087874703,-0.6099999999999568
2019-01-20,-4.058333333333315,-6.600000000000023,-2.1399999999999864,4.460000000000036,0.0,99.10395833333332,-3.6396516436267214,-5.829999999999984
2019-01-21,-3.593749999999986,-5.560000000000002,-0.8599999999999568,4.7000000000000455,0.0,99.24062500000001,-2.8619558892227857,-4.829999999999984
2019-01-22,-6.372083333333314,-7.7099999999999795,-2.769999999999982,4.939999999999998,0.0,98.25375000000001,-4.731833057772211,-7.7099999999999795
2019-01-23,-7.70312499999998,-7.7099999999999795,-7.3799999999999955,0.3299999999999841,0.0,98.01020833333332,-4.731833057772211,-7.7099999999999795
2019-01-24,-5.380208333333317,-6.92999999999995,-4.399999999999977,2.5299999999999727,0.0,98.32833333333333,-2.962575382203239,-4.9599999999999795
2019-01-25,-2.788749999999972,-5.859999999999957,-1.579999999999984,4.279999999999973,0.0,98.09937500000001,-1.001425575148457,-1.6499999999999773
