date,Tmed,Tmin,Tmax,Osc.,Prec.,TH,PAcum,TS
2019-10-10,1.4195833333333343,-1.6200000000000045,5.519999999999982,7.139999999999986,0.0,1.2512539098619648,975.4708333333333,-1.1299999999999955
2019-10-11,7.226874999999999,5.6299999999999955,8.529999999999973,2.8999999999999773,0.02291666666666667,6.830569661770575,971.2916666666666,7.069999999999993
2019-10-12,5.943333333333335,4.389999999999986,7.610000000000014,3.2200000000000273,0.03333333333333333,5.484316943927484,966.1291666666666,6.110000000000014
2019-10-13,3.4081249999999983,2.1899999999999977,4.399999999999977,2.2099999999999795,0.02291666666666667,3.012087477718808,977.1395833333332,4.0
2019-10-14,1.0308333333333362,-1.4499999999999886,3.240000000000009,4.689999999999998,0.0,0.534445917916888,985.3791666666666,-0.060000000000002274
2019-10-15,0.4399999999999989,-2.8500000000000227,2.75,5.600000000000023,0.0,0.18831978969889018,995.1875,-2.480000000000018
2019-10-16,1.7027083333333313,1.2799999999999727,2.160000000000025,0.8800000000000523,0.10416666666666667,1.421256126190693,990.0291666666667,1.4300000000000068
2019-10-17,1.6491666666666684,1.2699999999999818,1.9399999999999977,0.6700000000000159,0.09791666666666667,1.4249313133682706,985.8479166666667,1.589999999999975
2019-10-18,4.216875000000001,1.9599999999999795,7.519999999999982,5.560000000000002,0.03333333333333333,4.108719105806446,985.59375,2.9700000000000273
2019-10-19,8.874583333333337,7.639999999999986,10.720000000000027,3.080000000000041,0.13958333333333334,8.475474656682076,979.8958333333334,8.329999999999984
2019-10-20,2.0100000000000002,0.5,6.839999999999975,6.339999999999975,0.20625000000000002,1.5017483640317353,987.8333333333334,0.7300000000000182
2019-10-21,0.9431250000000043,-0.029999999999972715,1.910000000000025,1.9399999999999977,0.020833333333333332,0.6316240988289475,990.11875,0.8299999999999841
2019-10-22,5.7899999999999965,0.9599999999999795,8.089999999999975,7.1299999999999955,0.0020833333333333333,4.701971108540154,980.8854166666666,6.259999999999991
2019-10-23,6.217916666666671,4.430000000000007,7.25,2.819999999999993,0.0,4.5593545221102225,983.1291666666666,4.759999999999991
2019-10-24,8.371250000000003,6.4599999999999795,10.310000000000002,3.8500000000000227,0.008333333333333333,7.253052194333019,985.3249999999999,7.410000000000025
2019-10-25,9.351041666666665,6.600000000000023,10.769999999999982,4.169999999999959,0.004166666666666667,8.16813499825006,976.6999999999999,8.560000000000002
2019-10-26,4.646249999999999,3.160000000000025,6.3700000000000045,3.2099999999999795,0.0,2.780988355217284,972.0833333333334,4.110000000000014
2019-10-27,0.6606250000000031,-1.4300000000000068,3.0600000000000023,4.490000000000009,0.02291666666666667,-0.1880358844207017,972.6104166666668,0.3299999999999841
2019-10-28,-1.8199999999999992,-2.8000000000000114,-0.8199999999999932,1.9800000000000182,0.0020833333333333333,-2.549416978423562,982.9354166666667,-2.1200000000000045
2019-10-29,-2.187291666666667,-4.360000000000014,-0.01999999999998181,4.340000000000032,0.0,-3.287154203316675,989.7770833333334,-2.6999999999999886
2019-10-30,-3.168958333333336,-5.680000000000007,-0.660000000000025,5.019999999999982,0.004166666666666667,-4.222695517702191,995.3874999999999,-5.149999999999977
2019-10-31,1.7014583333333324,-0.9900000000000091,3.2099999999999795,4.199999999999989,0.012500000000000002,0.708379859934427,985.225,2.230000000000018
2019-11-01,-1.0050000000000001,-2.6100000000000136,1.490000000000009,4.100000000000023,0.0,-1.9419394926252178,985.2395833333334,-2.3600000000000136
2019-11-02,0.37208333333333127,-3.1100000000000136,2.410000000000025,5.520000000000039,0.09166666666666667,0.16268869988299395,974.8583333333332,0.040000000000020464
2019-11-03,-0.12166666666666377,-3.8999999999999773,1.9399999999999977,5.839999999999975,0.010416666666666666,-0.3544308107536199,969.5333333333333,1.6100000000000136
2019-11-04,-4.554583333333336,-6.069999999999993,-3.7099999999999795,2.3600000000000136,0.0,-4.892546524962658,978.8249999999999,-4.6200000000000045
2019-11-05,-6.867500000000004,-9.350000000000023,-5.350000000000023,4.0,0.0,-7.429326427782329,979.3583333333332,-7.560000000000002
2019-11-06,-8.996458333333331,-11.629999999999995,-6.220000000000027,5.409999999999968,0.0,-9.542334336664208,980.9145833333333,-10.490000000000009
2019-11-07,-8.462499999999999,-10.720000000000027,-6.360000000000014,4.360000000000014,0.0,-8.971826502285044,985.1125000000001,-10.509999999999991
2019-11-08,-3.441875000000001,-6.230000000000018,-0.8000000000000114,5.430000000000007,0.13749999999999998,-3.751862514107714,989.4625,-4.1299999999999955
2019-11-09,2.235208333333336,-0.6499999999999773,3.2900000000000205,3.9399999999999977,0.13125,2.111330343675981,986.6666666666666,2.8000000000000114
2019-11-10,0.8114583333333307,-0.6100000000000136,2.0,2.6100000000000136,0.2916666666666667,0.6855723104720411,981.8333333333334,1.009999999999991
